City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,coahuayana de hidalgo,18.7,-103.6583,87.49,72,78,5.77,MX,1723158509
165,urangan,-25.3,152.9,64.13,80,63,12.19,AU,1723158372
166,pisco,-13.7,-76.2167,62.02,82,0,14.97,PE,1723158514
167,terrace,54.5163,-128.6035,89.69,33,0,1.34,CA,1723158516
168,lagunas,-5.2269,-75.6753,85.57,46,44,1.34,PE,1723158518
169,tharyarwady,17.65,95.8,76.05,95,58,3.49,MM,1723158520
170,gobabis,-22.45,18.9667,54.7,31,1,4.54,NA,1723158521
171,saldanha,-33.0117,17.9442,56.39,85,81,26.55,ZA,1723158523
172,la tuque,47.4334,-72.7824,69.17,64,95,4.61,CA,1723158525
173,nadi,-17.8,177.4167,80.6,57,75,5.75,FJ,1723158527
174,northam,51.0333,-4.2167,63.61,98,100,19.37,GB,1723158529
175,east ballina,-28.8667,153.5833,58.86,72,98,9.04,AU,1723158531
176,st. john's,47.5649,-52.7093,67.28,68,79,1.01,CA,1723158532
177,chibougamau,49.9168,-74.3659,63.63,60,99,3.94,CA,1723158534
178,sedalia,38.7045,-93.2283,78.85,73,75,9.22,US,1723158438
179,brookings,44.3114,-96.7984,63.05,59,100,17.27,US,1723158404
180,mersa matruh,31.3525,27.2453,79.66,71,0,1.07,EG,1723158540
181,antalaha,-14.9003,50.2788,68.07,78,3,7.23,MG,1723158542
182,college,64.8569,-147.8028,69.08,73,100,6.91,US,1723158543
183,newman,37.3138,-121.0208,109.27,8,0,6.04,US,1723158052
184,tadine,-21.55,167.8833,72.86,64,18,12.46,NC,1723158547
185,holualoa,19.6228,-155.9522,79.56,77,40,9.22,US,1723158549
186,isafjordur,66.0755,-23.124,42.51,93,98,6.85,IS,1723158551
187,tobelo,1.7284,128.0095,79.7,82,100,5.57,ID,1723158327
188,vernon,50.2581,-119.2691,86.45,41,0,1.01,CA,1723158554
189,qaqortoq,60.7167,-46.0333,43.05,96,100,1.97,GL,1723158557
190,masterton,-40.9597,175.6575,47.46,99,100,6.58,NZ,1723158559
191,totness,5.8833,-56.3167,80.56,82,83,5.61,SR,1723158561
192,xinyuan,37.3,99.0,39.15,87,8,6.4,CN,1723158563
193,ebon,4.582,168.6964,83.43,74,48,8.77,MH,1723158564
194,kingston,17.997,-76.7936,88.75,70,20,18.41,JM,1723158298
195,nguru,12.8791,10.4526,81.3,68,100,10.49,NG,1723158568
196,winnemucca,40.973,-117.7357,96.85,11,0,5.75,US,1723158570
197,ust-nera,64.5667,143.2,58.77,70,89,5.57,RU,1723158571
198,preston,53.7667,-2.7167,62.62,96,100,19.46,GB,1723158335
199,port elizabeth,-33.918,25.5701,52.32,91,3,8.55,ZA,1723158560
200,olonkinbyen,70.9221,-8.7187,41.4,98,100,9.42,SJ,1723158579
201,alpena,45.0617,-83.4327,75.52,88,0,9.22,US,1723158116
202,nova sintra,14.8667,-24.7167,78.46,78,11,6.49,CV,1723158583
203,sisimiut,66.9395,-53.6735,41.72,85,99,3.96,GL,1723158584
204,khao yoi,13.2403,99.8243,79.65,80,53,2.3,TH,1723158588
205,nakamura,32.9833,132.9333,87.01,62,99,1.3,JP,1723158590
206,tateyama,34.9833,139.8667,82.85,81,0,11.81,JP,1723158591
207,tucuma,-0.1833,-50.05,80.56,77,49,10.07,BR,1723158593
208,port alfred,-33.5906,26.891,56.17,95,14,1.01,ZA,1723158595
209,comodoro rivadavia,-45.8667,-67.5,49.35,59,99,10.67,AR,1723158597
210,polyarnyy,69.1989,33.4478,54.25,61,18,11.32,RU,1723158599
211,salalah,17.0151,54.0924,75.29,100,100,5.75,OM,1723158601
212,kotabumi,-4.8333,104.9,73.38,91,75,3.24,ID,1723158602
213,mount pearl,47.5166,-52.7813,66.45,66,78,4.0,CA,1723158604
214,hasaki,35.7333,140.8333,82.72,82,0,13.4,JP,1723158606
215,kavaratti,10.5669,72.642,80.1,84,90,9.22,IN,1723158608
216,eastham,41.8301,-69.9739,66.94,91,100,9.22,US,1723158610
217,tazovsky,67.4667,78.7,41.13,87,31,11.74,RU,1723158612
218,palembang,-2.9167,104.7458,73.76,98,100,4.52,ID,1723158614
219,erenhot,43.6475,111.9767,77.43,49,100,10.11,CN,1723158615
220,kruisfontein,-34.0033,24.7314,50.79,82,1,8.7,ZA,1723158618
221,ajjampur,13.7281,76.0094,70.14,90,100,8.39,IN,1723158619
222,ixtapa,20.7,-105.2,89.22,74,100,13.8,MX,1723158621
223,lanja,16.85,73.55,74.26,94,98,1.95,IN,1723158623
224,crucecita,-28.95,-58.9833,46.81,62,4,11.77,AR,1723158624
225,qamdo,31.1667,97.2333,44.58,91,100,4.12,CN,1723158626
226,santa cruz,-17.8,-63.1667,57.25,82,75,11.5,BO,1723158628
227,selfoss,63.9331,-20.9971,50.79,87,83,4.9,IS,1723158630
228,puerto rosario,-24.45,-57.0833,57.83,41,48,8.9,PY,1723158631
229,poxoreo,-15.8372,-54.3892,84.27,26,71,2.64,BR,1723158633
230,saint-philippe,-21.3585,55.7679,69.19,77,71,10.45,RE,1723158635
231,dudinka,69.4058,86.1778,44.06,76,1,15.55,RU,1723158637
232,sungai penuh,-2.0833,101.3833,65.57,94,77,5.61,ID,1723158639
233,qingyang,37.4958,121.2581,79.05,83,76,1.72,CN,1723158641
234,jajpur,20.85,86.3333,81.45,83,100,4.12,IN,1723158643
235,jamestown,42.097,-79.2353,74.84,88,100,8.05,US,1723158441
236,aykhal,66.0,111.5,48.52,91,100,10.07,RU,1723158649
237,muana,-1.5283,-49.2167,81.82,66,78,7.27,BR,1723158651
238,novyy urgal,51.0736,132.5642,63.19,97,97,4.18,RU,1723158653
239,bhuj,23.2667,69.6667,80.82,85,100,15.32,IN,1723158389
240,zonguldak,41.25,31.8333,61.18,95,0,3.83,TR,1723158657
241,ayr,55.4627,-4.6339,60.78,94,100,16.11,GB,1723158658
242,itoman,26.1247,127.6694,86.77,79,20,8.05,JP,1723158475
243,mahina,-17.5065,-149.489,82.17,74,20,14.97,PF,1723158662
244,peace river,56.2501,-117.286,76.62,42,0,7.18,CA,1723158664
245,bonthe,7.5264,-12.505,76.05,83,100,7.36,SL,1723158665
246,remire-montjoly,4.9167,-52.2667,80.64,89,20,5.75,GF,1723158667
247,avarua,-21.2078,-159.775,75.25,50,20,8.05,CK,1723158539
248,kapoeta,4.7717,33.5903,75.52,74,77,4.99,SS,1723158671
249,malango,-2.9627,119.9001,67.57,98,96,2.62,ID,1723158673
250,mufumbwe,-13.6833,24.8,56.84,28,11,4.52,ZM,1723158674
251,san pedro piedra gorda,22.45,-102.35,83.48,24,73,16.69,MX,1723158676
252,kangaba,11.9333,-8.4167,74.55,93,100,2.51,ML,1723158678
253,carletonville,-26.3609,27.3977,57.34,43,0,10.38,ZA,1723158679
254,shitanjing,39.2342,106.3439,64.06,80,100,33.67,CN,1723158681
255,santa ana,33.7456,-117.8678,84.83,57,20,12.66,US,1723158457
256,puerto armuelles,8.2833,-82.8667,82.09,84,100,5.01,PA,1723158685
257,cidreira,-30.1811,-50.2056,51.73,92,100,5.84,BR,1723158687
258,vadso,70.0744,29.7487,48.36,76,6,4.61,NO,1723158689
259,changtu,42.7788,124.0955,73.36,83,97,4.38,CN,1723158692
260,grand-bourg,15.8835,-61.3148,84.22,74,5,18.34,GP,1723158694
261,keflavik,64.0049,-22.5624,50.43,93,100,6.91,IS,1723158696
262,mitu,1.1983,-70.1733,77.09,83,81,1.79,CO,1723158698
263,sarkand,45.41,79.9186,75.61,24,2,9.19,KZ,1723158701
264,lebu,-37.6167,-73.65,45.18,83,15,9.42,CL,1723158703
265,laguna,38.421,-121.4238,96.06,29,0,9.22,US,1723158705
266,arraial do cabo,-22.9661,-42.0278,74.39,80,0,18.41,BR,1723158707
